Id_Dipendente,Salario,Vendite_Annuali,Tasso_Commissione,Id_Concessionaria
2000000,86328.21,202,13,10
2000001,54785.89,266,4,40
2000002,72479.39,131,3,1
2000003,91334.67,149,10,3
2000004,45458.48,255,14,6
2000005,72356.84,126,13,5
2000006,72680.47,260,6,25
2000007,62244.79,98,3,23
2000008,46353.15,186,7,2
2000009,62771.12,77,15,50
2000010,55341.89,183,5,32
2000011,31930.89,290,14,47
2000012,95230.87,173,11,24
2000013,40951.65,159,15,47
2000014,98773.24,171,4,34
2000015,82206.83,139,5,5
2000016,86108.45,200,8,37
2000017,97465.26,149,7,5
2000018,94360.44,272,6,39
2000019,50419.50,19,4,20
2000020,57233.58,254,6,38
2000021,31582.89,296,8,1
2000022,43263.38,87,11,22
2000023,73711.75,177,10,38
2000024,99733.57,14,7,41
2000025,96023.17,3,5,48
2000026,55970.51,75,10,8
2000027,86261.23,180,3,4
2000028,30229.36,239,5,35
2000029,78638.75,188,15,34
2000030,94893.78,162,15,26
2000031,56280.79,2,3,8
2000032,74309.36,280,11,41
2000033,73253.90,61,10,1
2000034,98302.60,118,4,23
2000035,65544.27,96,15,46
2000036,98599.47,243,7,39
2000037,32706.58,75,11,22
2000038,37086.56,129,4,30
2000039,31971.83,252,15,45
2000040,77659.01,177,8,24
2000041,66665.64,158,12,46
2000042,65407.83,248,8,8
2000043,39600.08,111,14,29
2000044,42500.77,18,4,27
2000045,31407.02,198,11,40
2000046,32605.71,193,13,38
2000047,36052.34,32,12,26
2000048,61297.68,207,15,31
2000049,99267.19,49,11,30
2000050,31203.21,173,7,9
2000051,44439.90,61,8,20
2000052,36316.65,249,14,12
2000053,60974.43,214,12,3
2000054,83915.67,251,13,45
2000055,85118.71,151,5,34
2000056,32075.53,292,7,23
2000057,71062.47,152,13,18
2000058,70036.56,78,4,13
2000059,67605.49,267,14,31
2000060,95012.97,6,10,7
2000061,42675.78,193,3,42
2000062,46131.46,237,7,34
2000063,73057.35,32,7,42
2000064,30979.05,288,3,4
2000065,61928.74,135,13,20
2000066,92683.79,249,6,36
2000067,86367.99,107,15,13
2000068,80876.82,46,6,29
2000069,38071.15,272,5,49
2000070,30775.78,248,9,18
2000071,72564.66,225,9,40
2000072,33079.52,43,12,20
2000073,36826.34,201,14,13
2000074,51408.33,204,11,1
2000075,78779.46,221,4,11
2000076,64247.15,219,9,43
2000077,98925.76,4,9,48
2000078,68414.10,195,11,16
2000079,42524.92,253,5,34
2000080,69635.07,207,8,1
2000081,35664.87,172,12,48
2000082,81441.38,295,15,2
2000083,70184.36,256,11,36
2000084,73291.02,36,13,29
2000085,93654.12,91,5,46
2000086,73820.18,70,6,25
2000087,89137.62,275,4,19
2000088,35589.60,252,8,40
2000089,56102.77,145,4,1
2000090,61223.30,152,15,1
2000091,49721.76,259,5,50
2000092,39649.61,79,6,4
2000093,41842.45,64,15,25
2000094,39009.63,135,14,1
2000095,64892.20,133,13,32
2000096,82465.00,208,8,5
2000097,42271.57,243,15,41
2000098,99409.52,16,13,16
2000099,49955.00,261,15,9
2000100,50504.70,204,8,34
2000101,87432.87,54,8,24
2000102,89913.21,289,14,31
2000103,60773.47,177,8,35
2000104,96851.87,280,7,44
2000105,82685.03,33,5,50
2000106,43421.58,136,7,13
2000107,56425.71,300,11,23
2000108,53119.52,273,6,9
2000109,78970.91,295,3,36
2000110,43257.53,88,7,30
2000111,87325.43,55,15,10
2000112,52299.39,18,7,44
2000113,49172.01,119,11,44
2000114,67455.76,216,9,45
2000115,53466.88,139,3,41
2000116,51658.71,49,14,9
2000117,80485.78,154,7,22
2000118,78939.44,37,3,28
2000119,33889.71,7,13,24
2000120,63637.11,266,10,42
2000121,46605.50,93,3,28
2000122,99861.35,220,10,40
2000123,34845.65,249,12,6
2000124,86023.80,57,10,6
2000125,90483.83,131,4,31
2000126,93976.00,93,14,38
2000127,68935.23,73,10,22
2000128,77407.33,216,12,24
2000129,79138.33,48,7,50
2000130,88375.88,230,3,31
2000131,92190.11,273,9,38
2000132,95356.32,277,7,45
2000133,89386.56,23,11,37
2000134,61475.31,101,10,41
2000135,49065.60,156,6,43
2000136,44820.51,226,10,38
2000137,94406.76,235,10,35
2000138,60090.51,265,3,29
2000139,65002.73,160,3,44
2000140,82598.41,244,4,5
2000141,91065.32,265,7,40
2000142,82950.00,92,10,46
2000143,81894.85,202,7,21
2000144,56074.22,198,4,16
2000145,60624.33,108,15,19
2000146,42536.05,34,4,44
2000147,47400.35,237,15,34
2000148,96437.50,173,7,17
2000149,96265.15,229,13,36
2000150,85331.16,42,15,21
2000151,43980.78,212,10,6
2000152,75043.90,72,12,17
2000153,48216.72,138,13,21
2000154,31974.67,24,9,9
2000155,57746.43,19,12,45
2000156,86504.53,3,15,44
2000157,94349.21,190,4,4
2000158,35348.05,235,3,37
2000159,86932.21,207,11,7
2000160,91736.97,270,11,27
2000161,70852.43,172,15,31
2000162,83701.38,266,11,35
2000163,79356.23,73,3,39
2000164,34412.83,49,12,26
2000165,48683.98,100,11,14
2000166,57627.29,132,15,32
2000167,55233.82,278,5,26
2000168,66775.46,13,12,23
2000169,71517.33,112,9,10
2000170,58591.63,270,8,29
2000171,39460.55,248,7,39
2000172,58955.42,131,11,28
2000173,50391.10,192,7,26
2000174,41256.75,254,6,16
2000175,89940.48,81,12,23
2000176,76769.49,45,12,26
2000177,88217.97,76,13,30
2000178,35649.98,27,3,24
2000179,31265.93,2,5,35
